NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240131;0.5;1;4.5;1;724;9;9.7;1;1442;9;7.0;1;7.1;1;5.2;1;-0.4;9;1.6;9;;;;;1.8;9;;;;;;;;;;;;;7.0;9;360;9;2154;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240201;0.5;1;8.0;1;1742;9;10.9;1;1506;9;8.6;1;9.5;1;2.9;1;4.6;9;5.6;9;;;;;1.9;9;;;;;;;;;;;;;6.0;9;360;9;406;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240202;0.5;1;2.8;1;548;9;8.4;1;1442;9;5.4;1;5.6;1;5.6;1;2.0;9;2.6;9;;;;;2.4;9;;;;;;;;;;;;;6.0;9;360;9;1754;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240203;0.0;1;7.2;1;30;9;9.6;1;1524;9;8.5;1;8.4;1;2.4;1;5.8;9;5.7;9;;;;;2.0;9;;;;;;;;;;;;;6.0;9;360;9;1542;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240204;0.0;1;8.0;1;800;9;9.7;1;1054;9;8.5;1;8.9;1;1.7;1;7.6;9;7.7;9;;;;;2.9;9;;;;;;;;;;;;;8.0;9;10;9;1230;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240205;0.0;1;6.7;1;1754;9;7.9;1;600;9;7.3;1;7.3;1;1.2;1;6.5;9;6.6;9;;;;;3.3;9;;;;;;;;;;;;;8.0;9;360;9;2200;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240206;1.0;1;6.2;1;12;9;10.9;1;1430;9;9.0;1;8.6;1;4.7;1;6.0;9;6.0;9;;;;;4.8;9;;;;;;;;;;;;;11.0;9;90;9;1106;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240207;8.5;1;9.9;1;1430;9;11.8;1;548;9;10.6;1;10.9;1;1.9;1;8.9;9;8.9;9;;;;;5.3;9;;;;;;;;;;;;;12.0;9;360;9;1312;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240208;5.0;1;10.7;1;1736;9;12.7;1;1242;9;11.3;1;11.7;1;2.0;1;9.9;9;10.1;9;;;;;5.0;9;;;;;;;;;;;;;13.0;9;60;9;954;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240209;0.0;1;9.8;1;0;9;12.6;1;1224;9;10.6;1;11.2;1;2.8;1;8.7;9;8.8;9;;;;;4.7;9;;;;;;;;;;;;;12.0;9;90;9;600;9;;;;;;;;
