Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
5412,PI_Andre_Brechet,2081,2851,289.0240813122504
1075,Quai_d'Issy,597,594,18.243975983274815
5479,Bagnolet_bretelle_6,3537,2868,17.102892965711614
5386,PI_Pantin,809,802,0.2222331245282976
5353,PE_Menilmontant,2829,2830,281.03269157945874
4209,Av_Pte_Asnieres,2257,2250,15.930569113334508
1075,Quai_d'Issy,597,594,18.580897244169986
6195,Philippe_Auguste,2696,2528,0.0962970057685299
5532,Bd_Auguste_Blanqui,2902,2900,8.697461267189237
5205,PI_Plaine,632,2745,207.78871899342312
1075,Quai_d'Issy,597,594,8.517052437216757
5479,Bagnolet_bretelle_6,3537,2868,24.60410248979452
5386,PI_Pantin,809,802,36.50572091490146
5353,PE_Menilmontant,2829,2830,281.00173343799355
1075,Quai_d'Issy,597,594,17.520060415445283
6195,Philippe_Auguste,2696,2528,0.10265717916900292
5532,Bd_Auguste_Blanqui,2902,2900,17.7468471271244
5205,PI_Plaine,632,2745,442.031259534661
1436,Bd_Davout,762,761,16.549116041544206
5410,PI_Clichy,2086,2028,291.4073576092537
1075,Quai_d'Issy,597,594,8.637447312620234
5479,Bagnolet_bretelle_6,3537,2868,29.356983797564403
5386,PI_Pantin,809,802,35.94745323490544
5353,PE_Menilmontant,2829,2830,0.20253131214905
1075,Quai_d'Issy,597,594,8.466441461303265
5531,Bd_Auguste_Blanqui,2902,2901,14.639222660855554
5205,PI_Plaine,632,2745,440.0189177446222
1436,Bd_Davout,762,761,16.44176497941295
1075,Quai_d'Issy,597,594,18.280095282960662
1075,Quai_d'Issy,597,594,8.58714599853441
5531,Bd_Auguste_Blanqui,2902,2901,13.670150391613271
5421,PI_Ternes,2852,2746,241.21768703075446
1436,Bd_Davout,762,761,16.591021514781588
5354,PE_Leon_Frapie,2830,2831,309.6332933190748
6439,Tolbiac,3332,2652,23.28175792604668
525,Bd_Sebastopol,312,311,23.809018121194892
5531,Bd_Auguste_Blanqui,2902,2901,16.43557915565076
1916,Bd_de_Clichy,2061,2062,15.49240858145878
1447,Bd_Davout,764,769,7.7067776244912105
5354,PE_Leon_Frapie,2830,2831,443.1275390094995
6439,Tolbiac,3332,2652,16.501816341838087
525,Bd_Sebastopol,312,311,16.010555464609624
1779,Bd_Magenta,826,3222,16.51226439189236
5531,Bd_Auguste_Blanqui,2902,2901,8.471966886952373
1916,Bd_de_Clichy,2061,2062,15.316376655077294
5421,PI_Ternes,2852,2746,242.95954685457752
5733,Alesia,403,3000,0.09434265011234892
1447,Bd_Davout,764,769,8.325162857906676
5354,PE_Leon_Frapie,2830,2831,221.35319401428538
5009,Tolbiac,2651,2652,8.314323836238911
6194,Philippe_Auguste,2528,2696,16.425821864698566
525,Bd_Sebastopol,312,311,17.234722258345244
1779,Bd_Magenta,826,3222,16.302438910101674
5531,Bd_Auguste_Blanqui,2902,2901,8.627893250831587
1916,Bd_de_Clichy,2061,2062,17.680509192451538
5421,PI_Ternes,2852,2746,445.406896351965
5733,Alesia,403,3000,0.0976516862510845
1447,Bd_Davout,764,769,15.210129432159471
5354,PE_Leon_Frapie,2830,2831,231.36798203188755
5009,Tolbiac,2651,2652,8.271396409507203
1218,Bd_Sebastopol,310,312,13.650405638570938
1779,Bd_Magenta,826,3222,16.172503034788264
1407,Av_Gambetta,753,701,17.6010745117003
5531,Bd_Auguste_Blanqui,2902,2901,8.176758140469573
1916,Bd_de_Clichy,2061,2062,16.158436361970754
5215,PI_Pont_Aval,598,2727,265.55262188165
5421,PI_Ternes,2852,2746,233.11047875221456
5733,Alesia,403,3000,0.09560690279386413
1447,Bd_Davout,764,769,15.840300805322512
5354,PE_Leon_Frapie,2830,2831,0.16741749542310763
5009,Tolbiac,2651,2652,14.943648895702312
1218,Bd_Sebastopol,310,312,13.601451972068057
1779,Bd_Magenta,826,3222,16.543727110883065
1407,Av_Gambetta,753,701,19.135584668541796
1916,Bd_de_Clichy,2061,2062,16.197098912120754
5207,PI_Parc_Expo_Est,2745,2747,226.60709128827622
5733,Alesia,403,3000,9.118864127659341
1444,Bd_Davout,764,768,8.543269081269848
5336,PI_Guyane,531,538,432.87818315099173
5354,PE_Leon_Frapie,2830,2831,0.293810713269618
5009,Tolbiac,2651,2652,15.988226835679956
1218,Bd_Sebastopol,310,312,13.647732825157757
5336,PI_Guyane,531,538,469.4202200099702
4213,Av_Pte_Asnieres,2260,2257,17.49125331464127
1779,Bd_Magenta,826,3222,16.087072761190562
1407,Av_Gambetta,753,701,19.75926319733184
1916,Bd_de_Clichy,2061,2062,16.109159051400407
1444,Bd_Davout,764,768,8.391750887287152
5336,PI_Guyane,531,538,459.60125841601473
5354,PE_Leon_Frapie,2830,2831,0.19919597771843345
1218,Bd_Sebastopol,310,312,19.547809067031835
5336,PI_Guyane,531,538,254.7643041680023
4213,Av_Pte_Asnieres,2260,2257,8.160785444655518
6208,Bd_Magenta,664,3222,22.990432316066844
1407,Av_Gambetta,753,701,16.44117392522586
1917,Av_de_Clichy,2056,2054,7.508875336991453
1444,Bd_Davout,764,768,7.5658855300491075
5336,PI_Guyane,531,538,278.44725157065136
1218,Bd_Sebastopol,310,312,13.473522638281505
5336,PI_Guyane,531,538,310.0548901590821
4213,Av_Pte_Asnieres,2260,2257,8.82610223335493
6208,Bd_Magenta,664,3222,15.352045349954684
1407,Av_Gambetta,753,701,8.42712488702525
1917,Av_de_Clichy,2056,2054,8.568162538160077
5913,Pyrenees,766,3074,16.473264338070013
5336,PI_Guyane,531,538,451.1445842426799
5355,PI_Leon_Frapie,781,2832,279.0473776155877
1218,Bd_Sebastopol,310,312,12.507580020202253
5336,PI_Guyane,531,538,437.3145396986855
4213,Av_Pte_Asnieres,2260,2257,16.412576378440498
6208,Bd_Magenta,664,3222,15.084277415097738
1407,Av_Gambetta,753,701,8.421900551645338
5530,Bd_Auguste_Blanqui,2901,2902,16.676976980709554
1917,Av_de_Clichy,2056,2054,8.672224655919482
5913,Pyrenees,766,3074,16.274312045245765
5336,PI_Guyane,531,538,424.37612867986854
5355,PI_Leon_Frapie,781,2832,252.4434195618043
5335,PI_Courteline,532,531,185.51609758727568
4213,Av_Pte_Asnieres,2260,2257,12.947830467949766
6208,Bd_Magenta,664,3222,15.407618603517996
1407,Av_Gambetta,753,701,8.818250472974151
5530,Bd_Auguste_Blanqui,2901,2902,8.714792810595545
1917,Av_de_Clichy,2056,2054,8.24184736158957
5737,Vercingetorix,3149,3002,15.576799908382435
5913,Pyrenees,766,3074,16.035066674188457
5336,PI_Guyane,531,538,451.39065474816937
5355,PI_Leon_Frapie,781,2832,30.873523445171315
1324,Av_Parmentier,676,679,16.587442198425084
5335,PI_Courteline,532,531,253.6749009197483
6208,Bd_Magenta,664,3222,15.327080543008067
5530,Bd_Auguste_Blanqui,2901,2902,7.975661724864903
1917,Av_de_Clichy,2056,2054,8.74113806540284
5737,Vercingetorix,3149,3002,8.781726923394832
5913,Pyrenees,766,3074,16.23739159512837
5335,PI_Courteline,532,531,402.3440622430352
5355,PI_Leon_Frapie,781,2832,0.18508258757236587
5124,Quai_Francois_Mauriac,2253,2703,0.08907498473978417
5335,PI_Courteline,532,531,209.0005050469889
6208,Bd_Magenta,664,3222,23.16315625612992
5533,Bd_Auguste_Blanqui,2900,2902,13.670150391613271
1917,Av_de_Clichy,2056,2054,8.451353098233707
5175,PE_Parc_Expo_Ouest,608,2731,268.3944321984783
5737,Vercingetorix,3149,3002,8.451269857800376
1542,Pyrenees,766,3442,16.407673419764837
5335,PI_Courteline,532,531,298.76105260001543
1946,Bd_Haussmann,2133,2131,23.281748475434426
5124,Quai_Francois_Mauriac,2253,2703,0.08755926594641875
5335,PI_Courteline,532,531,430.91773576304416
6208,Bd_Magenta,664,3222,16.578641049848898
5533,Bd_Auguste_Blanqui,2900,2902,8.381255325719165
1917,Av_de_Clichy,2056,2054,8.006354570652412
5176,PE_Parc_Expo_Est,2731,2732,0.27893962092725816
1542,Pyrenees,766,3442,16.269524239875768
5335,PI_Courteline,532,531,186.11084618307385
1951,Bd_des_Italiens,2137,2138,19.044826367892657
5124,Quai_Francois_Mauriac,2253,2703,0.08926357971850797
5335,PI_Courteline,532,531,440.615876206006
4228,Bd_Haussmann,2261,2269,18.46279620748546
4750,Bd_de_Charonne,2527,2534,16.47600987500469
6208,Bd_Magenta,664,3222,15.304926406744151
