Identifiant noeud amont,Identifiant noeud aval,cost
701,752,14.860276891834696
2903,2900,6.124330358058873
3000,2999,7.7288267100695185
597,594,10.756390661767194
657,3497,11.81451186161917
2508,2693,17.69178663092726
308,309,16.46290059516441
529,489,8.815528905159077
2257,2260,10.035342331444332
597,594,10.756390661767194
701,752,7.471188934568825
2902,2900,7.839197836613882
3000,2999,0.08493216164911555
2061,2062,8.927653957157498
597,594,10.756390661767194
2826,2867,0.43291738921086775
809,802,584.8064103985648
211,179,14.108978429039754
2159,2694,14.889120794812301
308,309,24.694350892746613
2257,2260,10.035342331444332
597,594,10.756390661767194
701,752,7.471188934568825
2902,2900,7.839197836613882
3000,2999,0.08493216164911555
597,594,12.092588259502246
2826,2867,0.43291738921086775
809,802,331.43899251564517
211,179,7.0934642930531355
2546,2695,8.198621562707777
308,309,24.694350892746613
2257,2260,8.926464725759875
597,594,10.756390661767194
701,752,7.471188934568825
2902,2900,3.9412541609495206
761,707,20.261988722687576
2062,3082,11.49436114809758
597,594,12.092588259502246
2826,2867,0.6493760838163016
809,802,331.43899251564517
211,179,7.0934642930531355
2546,2695,16.307148382968215
308,309,24.694350892746613
2257,2250,12.90362570986429
597,594,10.756390661767194
2696,2528,18.463275785285283
701,752,0.0821009773029541
2902,2900,3.9412541609495206
761,707,20.261988722687576
597,594,12.092588259502246
3537,2868,28.52225440515541
809,802,331.43899251564517
211,179,7.0934642930531355
2546,2695,8.198621562707777
308,309,16.46290059516441
2257,2250,11.477810714299174
597,594,10.756390661767194
2696,2528,9.282641416911387
701,752,7.471188934568825
2902,2900,3.9412541609495206
